,time,prediction,pvPower,date,area,familyID,state,totalaccurgenamount
130,2022-01-12 16:00:00,-1627.0488280782847,2360.0,2022-01-12 16:00:00,sc_jong,6-1,N,12893986.0
131,2022-01-12 17:00:00,-312.79258873761523,406.0,2022-01-12 17:00:00,sc_jong,6-1,N,12894011.0
132,2022-01-13 07:00:00,830.710731021345,314.0,2022-01-13 07:00:00,sc_jong,6-1,N,12894022.0
133,2022-01-13 08:00:00,7267.146596457914,4237.0,2022-01-13 08:00:00,sc_jong,6-1,N,12894164.0
134,2022-01-13 09:00:00,20955.25711778745,19110.0,2022-01-13 09:00:00,sc_jong,6-1,N,12894625.0
135,2022-01-13 10:00:00,32678.75366902993,42579.0,2022-01-13 10:00:00,sc_jong,6-1,N,12895869.0
136,2022-01-13 11:00:00,70465.352215093,55121.0,2022-01-13 11:00:00,sc_jong,6-1,N,12897828.0
137,2022-01-13 12:00:00,70206.1836543655,61849.0,2022-01-13 12:00:00,sc_jong,6-1,N,12899878.0
138,2022-01-13 13:00:00,61616.4779568785,58842.0,2022-01-13 13:00:00,sc_jong,6-1,N,12901772.0
139,2022-01-13 14:00:00,44811.43631721877,32581.000000000004,2022-01-13 14:00:00,sc_jong,6-1,N,12902737.0
140,2022-01-13 15:00:00,7580.561766492982,4563.0,2022-01-13 15:00:00,sc_jong,6-1,N,12902884.0
141,2022-01-13 16:00:00,-3147.978488535078,2271.0,2022-01-13 16:00:00,sc_jong,6-1,N,12902973.0
142,2022-01-13 17:00:00,1055.4549294371352,356.0,2022-01-13 17:00:00,sc_jong,6-1,N,12902998.0
143,2022-01-14 07:00:00,-835.6596565666006,247.0,2022-01-14 07:00:00,sc_jong,6-1,N,12903011.0
144,2022-01-14 08:00:00,4231.457668965497,3794.0,2022-01-14 08:00:00,sc_jong,6-1,N,12903154.0
145,2022-01-14 09:00:00,20880.25147693985,13027.0,2022-01-14 09:00:00,sc_jong,6-1,N,12903603.0
146,2022-01-14 10:00:00,43886.28392281955,42594.0,2022-01-14 10:00:00,sc_jong,6-1,N,12904880.0
